Gene,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8
5S_rRNA,0,0,0,0,1,0,0,0
7SK,16,65,390,124,200,257,249,116
A1BG,0,2,20,4,4,22,8,11
A1BG-AS1,0,0,3,0,0,0,1,0
A1CF,0,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,0,0
A2M-AS1,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0
A4GALT,0,0,0,0,0,0,0,0
A4GNT,0,0,0,10,0,0,0,0
AAAS,0,0,0,0,0,0,0,0
AACS,0,0,3,21,1,0,1,0
AACSP1,0,0,60,12,22,4,22,8
AADAC,0,2,12,4,3,4,6,2
AADACL2,0,0,0,0,0,0,0,0
AADACL3,3,7,38,11,13,20,23,14
AADACL4,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0
AAED1,0,0,0,0,0,0,0,0
AAGAB,30,153,941,292,373,512,588,272
AAK1,0,0,0,0,0,0,0,0
AAMDC,0,0,0,0,0,0,0,0
AAMP,0,4,26,18,8,5,18,5
AANAT,0,0,0,0,0,0,0,0
AAR2,0,0,0,0,0,0,0,0
AARD,0,0,0,0,0,0,0,0
AARS,0,0,0,0,0,0,0,0
AARS2,0,1,23,2,3,6,13,1
AARSD1,0,0,0,0,0,0,0,0
AASDH,0,0,0,0,0,0,0,0
AASDHPPT,0,0,0,0,0,0,0,0
AASS,0,0,0,0,0,0,0,0
AATF,0,0,0,0,1,0,3,0
AATK,0,0,0,0,0,0,0,0
AATK-AS1,0,0,0,0,1,0,2,0
AB000466,0,0,0,0,0,2,0,0
AB007962,0,0,0,0,0,0,1,0
AB062081,0,0,0,7,1,0,0,0
AB062083,0,0,0,0,0,0,0,0
AB073649,1,2,52,31,39,79,47,53
AB074162,440,1123,9304,2252,4745,11126,8140,5524
AB074166,1,0,10,11,3,0,1,3
AB075489,57,101,1224,359,932,1191,1266,735
AB075492,0,0,0,0,0,0,0,0
AB209061,32,34,781,294,445,736,739,449
AB209185,0,0,5,3,4,11,9,4
AB209315,1776,6602,37074,10553,20920,27760,20420,13999
AB209621,16,30,447,166,342,473,628,243
AB231702,0,0,0,0,0,0,0,0
AB231703,0,0,0,0,0,0,0,0
AB231710,0,0,14,6,0,3,18,2
AB231711,1,2,48,2,20,9,26,3
AB231729,0,1,9,0,0,6,8,2
AB429224,0,0,0,0,0,0,0,0
AB488780,0,0,15,2,2,2,5,4
AB586698,0,0,3,1,0,0,0,0
ABAT,1,13,101,15,35,35,81,25
ABCA1,1,8,141,36,48,66,153,25
ABCA10,0,8,51,19,22,32,45,24
ABCA11P,1,5,23,6,8,22,20,3
ABCA12,35,140,667,280,249,455,356,243
ABCA13,1,22,92,26,31,33,70,24
ABCA17P,0,1,1,14,1,6,3,1
ABCA2,0,0,0,0,1,2,1,0
ABCA3,0,0,0,0,0,1,0,2
ABCA4,0,0,1,0,2,4,2,0
ABCA5,0,0,0,2,1,0,2,0
