,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,5146.413516,-0.750566962,0.522560923,-1.436324318,0.150910077,0.299137696
ENSG00000000005,40.30991657,-7.376332978,1.607929506,-4.587472865,4.49E-06,3.39E-05
ENSG00000000419,1777.758194,0.387750316,0.404869349,0.957717143,0.33820541,0.544885038
ENSG00000000457,522.9767565,-1.302376797,0.257031357,-5.066995761,4.04E-07,3.75E-06
ENSG00000000460,348.693797,-1.019575796,0.340526334,-2.994117323,0.002752401,0.010781788
ENSG00000000938,252.6096444,-6.705493306,0.916021835,-7.320233044,2.48E-13,5.61E-12
ENSG00000000971,839.0588633,-4.706800991,0.707883847,-6.649114836,2.95E-11,5.08E-10
ENSG00000001036,3001.977618,-0.333176624,0.248533782,-1.340568758,0.180060506,0.342663389
ENSG00000001084,1788.453031,2.46403235,0.264056826,9.331447274,1.04E-20,5.76E-19
ENSG00000001167,1173.281741,0.538506388,0.243834095,2.208495035,0.027209784,0.075519723
ENSG00000001460,356.9089349,-1.089703728,0.301400729,-3.6154648,0.000299809,0.001523216
ENSG00000001461,1465.673976,-0.668264662,0.271198766,-2.464113953,0.013735244,0.042574355
ENSG00000001497,2008.136693,0.568696584,0.355121108,1.601415885,0.109284837,0.232505067
ENSG00000001561,1014.599398,-0.376527519,0.393480601,-0.956915073,0.338610123,0.545378272
ENSG00000001617,1406.292484,0.706572122,0.558127556,1.265968889,0.205524221,0.379043381
ENSG00000001626,6273.655665,-10.32074749,0.806649844,-12.79458189,1.76E-37,3.94E-35
ENSG00000001629,1756.30359,0.769533041,0.291378532,2.641008028,0.008265976,0.027623152
ENSG00000001630,402.8863071,2.095622371,0.493820985,4.243688367,2.20E-05,0.00014417
ENSG00000001631,1021.203104,0.491297865,0.316644714,1.551574505,0.120764067,0.251229193
ENSG00000002016,311.3922576,-0.113036308,0.320885043,-0.352264184,0.724640145,0.893773468
ENSG00000002079,23.87134588,7.191855975,1.040704901,6.910562222,4.83E-12,9.21E-11
ENSG00000002330,965.5030821,-2.909104514,0.379514476,-7.665332141,1.78E-14,4.57E-13
ENSG00000002549,3761.896584,-0.720549397,0.389892846,-1.848070319,0.064592171,0.153065575
ENSG00000002586,6173.961011,0.342945832,0.37511903,0.914232031,0.360594937,0.570315489
ENSG00000002587,655.7476338,6.043645446,0.474781809,12.72931129,4.06E-37,8.88E-35
ENSG00000002726,8676.178779,-2.380147107,0.603414131,-3.944466969,8.00E-05,0.000464135
ENSG00000002745,19.98893836,6.44821601,1.201182877,5.36822172,7.95E-08,8.28E-07
ENSG00000002746,42.37624276,1.625541746,0.867848126,1.873071679,0.061058488,0.146432018
ENSG00000002822,1000.077742,0.792401732,0.32530689,2.43585905,0.014856472,0.045558267
ENSG00000002834,12695.18816,-0.873306059,0.282400534,-3.092437706,0.001985199,0.008093623
ENSG00000002919,825.148342,-0.412742186,0.274020152,-1.506247561,0.132003634,0.269744117
ENSG00000002933,7341.570741,-0.435326759,0.671765839,-0.648033486,0.516963292,0.727084242
ENSG00000003056,2576.266983,1.077981271,0.243469119,4.427589324,9.53E-06,6.71E-05
ENSG00000003096,222.4160777,-5.785890143,1.155257341,-5.008312813,5.49E-07,4.98E-06
ENSG00000003137,97.00000582,-0.016681999,0.757002977,-0.0220369,0.982418521,1
ENSG00000003147,2296.492864,0.125654305,0.340169055,0.369387819,0.711838676,0.884982273
ENSG00000003249,819.0450955,3.648092031,0.566616254,6.438382242,1.21E-10,1.92E-09
ENSG00000003393,699.5669932,1.082582407,0.311028915,3.480648763,0.000500201,0.002400609
ENSG00000003400,1335.995391,-0.551722584,0.40607411,-1.358674611,0.174249721,0.334219831
ENSG00000003402,3117.73381,1.012863697,0.309793063,3.269484754,0.001077435,0.004738404
ENSG00000003436,617.0968889,0.037141853,0.667842453,0.055614693,0.955648759,1
ENSG00000003509,433.8136689,0.151989016,0.239111178,0.635641617,0.525010038,0.734382092
ENSG00000003756,2214.809726,-0.299423816,0.281053739,-1.065361438,0.2867124,0.484389701
ENSG00000003987,35.32922867,-0.715754254,0.710415528,-1.007514935,0.313687384,0.51668573
ENSG00000003989,190.6408505,-9.707727697,1.511275006,-6.423534867,1.33E-10,2.10E-09
ENSG00000004059,5384.391994,1.241753905,0.414798592,2.993630953,0.002756792,0.010794353
ENSG00000004139,247.988566,-0.290700684,0.370749043,-0.784090181,0.432987196,0.646822956
