,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,5146.413516,-0.960748423,0.522543078,-1.838601379,0.065973838,0.151039331
ENSG00000000005,40.30991657,-6.611395675,1.607929506,-4.111744731,3.93E-05,0.000254459
ENSG00000000419,1777.758194,0.889594625,0.40455446,2.198948998,0.027881549,0.075173847
ENSG00000000457,522.9767565,-1.58092767,0.257016492,-6.151074801,7.70E-10,1.20E-08
ENSG00000000460,348.693797,0.512308105,0.329950655,1.552680974,0.12049937,0.242075664
ENSG00000000938,252.6096444,-6.368584795,0.859446434,-7.410100897,1.26E-13,3.17E-12
ENSG00000000971,839.0588633,-2.206042399,0.701020841,-3.146899878,0.001650115,0.006894118
ENSG00000001036,3001.977618,0.877732101,0.248056957,3.53842969,0.000402514,0.002002915
ENSG00000001084,1788.453031,1.650317491,0.264132959,6.248055886,4.16E-10,6.70E-09
ENSG00000001167,1173.281741,0.196698682,0.243879433,0.806540671,0.419931167,0.607205
ENSG00000001460,356.9089349,-0.674041807,0.299935948,-2.247285837,0.024621765,0.067941521
ENSG00000001461,1465.673976,-0.843679446,0.271123454,-3.111790715,0.001859563,0.00763994
ENSG00000001497,2008.136693,0.849138547,0.354890664,2.392676485,0.016725982,0.049310974
ENSG00000001561,1014.599398,-0.371824086,0.393305931,-0.945381334,0.344464228,0.529819919
ENSG00000001617,1406.292484,-0.082806381,0.55838272,-0.148296819,0.882108526,0.962880836
ENSG00000001626,6273.655665,-7.794383692,0.721116693,-10.80876891,3.13E-27,3.38E-25
ENSG00000001629,1756.30359,0.291225947,0.291449082,0.999234392,0.317681159,0.500123004
ENSG00000001630,402.8863071,0.24840005,0.494895508,0.501924237,0.615720816,0.779835477
ENSG00000001631,1021.203104,0.398127679,0.316503468,1.257893578,0.208430247,0.367405289
ENSG00000002016,311.3922576,-0.325374836,0.320702903,-1.014567793,0.310311898,0.49136535
ENSG00000002079,23.87134588,6.005582196,1.041586503,5.765802628,8.13E-09,1.09E-07
ENSG00000002330,965.5030821,-2.242030955,0.377286283,-5.942519133,2.81E-09,4.01E-08
ENSG00000002549,3761.896584,-0.089929522,0.389707151,-0.230761795,0.817499864,0.926237893
ENSG00000002586,6173.961011,0.977868934,0.375064085,2.607204935,0.009128471,0.029627673
ENSG00000002587,655.7476338,4.973310692,0.474810854,10.47429866,1.13E-25,1.06E-23
ENSG00000002726,8676.178779,-3.150781988,0.603462957,-5.221168839,1.78E-07,1.89E-06
ENSG00000002745,19.98893836,6.362477563,1.201143484,5.297017089,1.18E-07,1.29E-06
ENSG00000002746,42.37624276,1.498589286,0.866849484,1.728776811,0.083849048,0.182841093
ENSG00000002822,1000.077742,0.546864922,0.325278086,1.68122276,0.092719654,0.19755726
ENSG00000002834,12695.18816,-1.451002457,0.282430036,-5.137564256,2.78E-07,2.86E-06
ENSG00000002919,825.148342,-0.523882924,0.273813958,-1.913280568,0.055712144,0.131908719
ENSG00000002933,7341.570741,-0.653558896,0.671760549,-0.972904551,0.330600743,0.514700923
ENSG00000003056,2576.266983,0.247972717,0.243626663,1.017838991,0.308754479,0.489494932
ENSG00000003096,222.4160777,-5.455996745,1.131918345,-4.820132801,1.43E-06,1.27E-05
ENSG00000003137,97.00000582,-1.639320575,0.76054684,-2.155449854,0.031126649,0.082320929
ENSG00000003147,2296.492864,0.272899353,0.339952686,0.802756865,0.422115278,0.609500472
