"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5S_rRNA",0.0857625481568037,0.294060363721607,3.52067083642626,0.0835239581840887,0.933434928071694,NA
"7SK",129.013908788297,-0.3056567200011,0.300733070854795,-1.01637215731649,0.309452199095573,0.698715433501882
"A1BG",5.98054687593625,-0.991215774362861,0.979928558208866,-1.01151840719351,0.311768375639195,NA
"A1BG-AS1",0.202583316458949,1.44163424041919,3.49071378545105,0.412991247356853,0.679613026445845,NA
"A1CF",0,NA,NA,NA,NA,NA
"A2M",0,NA,NA,NA,NA,NA
"A2M-AS1",0,NA,NA,NA,NA,NA
"A3GALT2",0,NA,NA,NA,NA,NA
"A4GALT",0,NA,NA,NA,NA,NA
"A4GNT",0.901597136656391,3.97357004225447,3.4450694523204,1.15340781869524,0.248743033783194,NA
"AAAS",0,NA,NA,NA,NA,NA
"AACS",2.18169985159417,3.64029344224616,2.0122108198535,1.8091014153831,0.0704352492457349,NA
"AACSP1",8.70405100434474,-0.174351058343634,1.07909176993515,-0.161572039747937,0.871642877013625,NA
"AADAC",2.65332508047048,0.346207086570835,1.10044930257004,0.314605212400322,0.753061421072771,NA
"AADACL2",0,NA,NA,NA,NA,NA
"AADACL3",13.2387176344813,-0.00187173459343496,0.596581755732069,-0.00313743183637613,0.997496695684055,NA
"AADACL4",0,NA,NA,NA,NA,NA
"AADAT",0,NA,NA,NA,NA,NA
"AAED1",0,NA,NA,NA,NA,NA
"AAGAB",282.951685558034,-0.21842870816521,0.301920739843294,-0.723463741770707,0.469395022347844,0.810037510971955
"AAK1",0,NA,NA,NA,NA,NA
"AAMDC",0,NA,NA,NA,NA,NA
"AAMP",6.81366452766962,0.497557334471736,0.831074580666778,0.598691556746378,0.549378588601025,NA
"AANAT",0,NA,NA,NA,NA,NA
"AAR2",0,NA,NA,NA,NA,NA
"AARD",0,NA,NA,NA,NA,NA
"AARS",0,NA,NA,NA,NA,NA
"AARS2",3.19989674290878,-0.0123363637163629,1.23178901057365,-0.0100149973822366,0.992009321790189,NA
"AARSD1",0,NA,NA,NA,NA,NA
"AASDH",0,NA,NA,NA,NA,NA
"AASDHPPT",0,NA,NA,NA,NA,NA
"AASS",0,NA,NA,NA,NA,NA
"AATF",0.292100369597225,-1.15534211479834,3.46434391712341,-0.333495213650056,0.738760501827624,NA
"AATK",0,NA,NA,NA,NA,NA
"AATK-AS1",0.223321095783751,-0.836925803052423,3.4789047644136,-0.240571633812314,0.80988713749862,NA
"AB000466",0.149287366989621,-0.373615092747,3.50614752659977,-0.106560003511697,0.915138050427896,NA
"AB007962",0.0687792738134738,0.294060363721607,3.52067083642626,0.0835239581840886,0.933434928071694,NA
"AB062081",0.716880543816277,2.84683856468392,3.44460441291552,0.826463135798619,0.408541421501843,NA
"AB062083",0,NA,NA,NA,NA,NA
"AB073649",27.1670644467466,-1.5164247056733,0.645033199713577,-2.35092504749625,0.0187268056491635,NA
"AB074162",3912.66485866082,-1.0849829664546,0.373972559085474,-2.90123684237116,0.00371692829191456,0.134894814193371
"AB074166",3.06817959661358,1.59212869148101,1.42749158253363,1.11533315569901,0.264707682361029,NA
"AB075489",529.25631480398,-1.22698115877961,0.347556481335596,-3.53030722967543,0.000415077366494144,0.0675668125646249
"AB075492",0,NA,NA,NA,NA,NA
"AB209061",310.167782398761,-1.14863172855149,0.45291375482754,-2.53609371830375,0.0112096730408914,0.186856917326418
"AB209185",2.90040943919188,-1.70949349031629,1.20341472846415,-1.42053562241008,0.155451805525959,NA
"AB209315",13119.1662987461,-0.395909775757776,0.300431943535596,-1.31780186586873,0.18756998316267,0.58047619458816
"AB209621",201.168310322773,-1.37252260381487,0.380670392748399,-3.60554072489169,0.000311503633167833,0.0624085548142785
"AB231702",0,NA,NA,NA,NA,NA
"AB231703",0,NA,NA,NA,NA,NA
"AB231710",2.93922481933023,-0.331025208387405,1.57258853594364,-0.210497025014093,0.833279773345605,NA
"AB231711",8.27787403728628,-0.288349939406199,0.952408010702382,-0.302758834623353,0.76207365707133,NA
"AB231729",1.94991928262612,-0.687373845796288,1.70590146731972,-0.402938773993951,0.686993266181925,NA
"AB429224",0,NA,NA,NA,NA,NA
"AB488780",2.13782785799036,-0.132103959912808,1.44058046938066,-0.0917018956737642,0.926934891210422,NA
"AB586698",0.223963756311115,2.54245916998223,3.48225228166808,0.730119176995508,0.465317340257769,NA
"ABAT",24.8783752833113,-0.499183459046053,0.60248680064816,-0.828538415296447,0.407365648663223,NA
"ABCA1",35.7441523477646,-0.799744445075119,0.620683014331901,-1.28849094724456,0.197575118110731,0.590005619007848
"ABCA10",17.0089902133367,-0.677279664039364,0.596532222008776,-1.13536140890877,0.256223922053249,NA
"ABCA11P",7.76758437995404,-0.254276915507702,0.779973625276037,-0.326007069043792,0.744419006743417,NA
"ABCA12",235.362325618455,0.000147151517982457,0.315157311232139,0.000466914498690047,0.999627456143817,0.999866821742328
"ABCA13",26.2105561240089,-0.0236886251136422,0.549185101473738,-0.043134136468877,0.965594607645431,NA
"ABCA17P",2.44126582638129,0.957850879138607,1.45491514274386,0.658355151443521,0.510309946752328,NA
"ABCA2",0.303829188959898,-1.19823443579647,3.46260212965978,-0.346050279797581,0.729304928486489,NA
"ABCA3",0.386533376025366,-1.45247271860725,3.44801601374596,-0.421248832028849,0.67357338969858,NA
"ABCA4",0.652259725468288,-1.70713728412368,2.4484104812254,-0.697243087796813,0.485650678004379,NA
"ABCA5",0.403640523115029,0.494393663596662,3.4441819197606,0.143544584785181,0.885860102240399,NA
"ABCA7",0.603393647334479,-0.0233777037791181,2.28254993291418,-0.0102419243680121,0.991828269539124,NA
"ABCA8",1.91372161644894,2.02349116786144,1.44470374677262,1.40062706446342,0.161325623333967,NA
"ABCA9",4281.72621757166,-0.104785303970789,0.385866630336445,-0.271558346155575,0.785961631110212,0.936667870945544
"ABCB1",195.260677791645,-0.0817972967652884,0.426822444706716,-0.191642444720764,0.848022292609815,0.956560770579147
"ABCB10",0,NA,NA,NA,NA,NA
"ABCB11",226.541324743913,-1.19184971148155,0.581166040264297,-2.05079035750185,0.0402873669911322,0.297619725441255
"ABCB4",57.4744263234881,-1.52167573395832,0.633008517637198,-2.4038787655468,0.0162221521255227,0.21284934615075
"ABCB5",31.2056901777069,-0.393354019929393,0.659452983057204,-0.596485314397724,0.55085106163232,NA
"ABCB6",736.502658146747,-0.0835044713469381,0.458241618256205,-0.182228038703046,0.855403769670728,0.958544129928979
"ABCB7",1810.08978234881,0.636029855045709,0.724314713171109,0.878112571068892,0.37988263154129,0.754406644185504
"ABCB8",30.5388754984136,0.663645243977548,1.15978848336936,0.572212307238608,0.567178150645178,NA
"ABCB9",11.5094369378391,-1.57011700523819,0.755129434906823,-2.07926870898885,0.0375926594892868,NA
"ABCC1",14401.9385538631,0.420815166930968,0.687313005973314,0.612261318022121,0.540364878063834,0.845527380545061
"ABCC10",0,NA,NA,NA,NA,NA
"ABCC11",253.872052312441,0.252316725745268,0.333037290998446,0.757623042719397,0.448676681531643,0.797420606633059
