,Type,Condition,Description,NES,FDR,Category,Positive_value
1,Stage I,A vs B,ALLOGRAFT_REJECTION,-1.687568973,1.37E-09,Immnue,
2,Stage I,A vs B,EPITHELIAL_MESENCHYMAL_TRANSITION,-1.576241167,1.37E-09,Development,
3,Stage I,A vs B,INTERFERON_GAMMA_RESPONSE,-1.520394877,1.42E-07,Immnue,
4,Stage I,A vs B,INFLAMMATORY_RESPONSE,-1.503661165,4.38E-07,Immnue,
5,Stage I,A vs B,APICAL_JUNCTION,-1.320300069,0.002946899,Cellular Component,
6,Stage I,A vs B,MYC_TARGETS_V2,1.656648255,0.003409752,Proliferation,+
7,Stage I,A vs B,ANGIOGENESIS,-1.502393867,0.009523441,Development,
8,Stage I,A vs B,ADIPOGENESIS,-1.279642047,0.009523441,Development,
9,Stage I,A vs B,COAGULATION,-1.307137882,0.010341304,Immnue,
10,Stage I,A vs B,UNFOLDED_PROTEIN_RESPONSE,1.263901501,0.025125115,Pathway,+
11,Stage I,A vs B,SPERMATOGENESIS,-1.278755736,0.02529704,Development,
12,Stage I,A vs B,APICAL_SURFACE,-1.421787672,0.02529704,Cellular Component,
13,Stage I,A vs B,BILE_ACID_METABOLISM,-1.30558416,0.027395817,Metabolic,
14,Stage I,C vs D,ALLOGRAFT_REJECTION,-2.017645338,5.53E-10,Immnue,
15,Stage I,C vs D,EPITHELIAL_MESENCHYMAL_TRANSITION,-1.908557023,5.53E-10,Development,
16,Stage I,C vs D,INFLAMMATORY_RESPONSE,-1.81414481,5.53E-10,Immnue,
17,Stage I,C vs D,KRAS_SIGNALING_UP,-1.779508977,5.53E-10,Signaling,
18,Stage I,C vs D,UV_RESPONSE_DN,-1.630444913,6.24E-06,DNA damage,
19,Stage I,C vs D,G2M_CHECKPOINT,1.597323009,2.02E-05,Proliferation,+
20,Stage I,C vs D,ADIPOGENESIS,-1.529587311,4.72E-05,Development,
21,Stage I,C vs D,MYC_TARGETS_V2,1.893487928,0.000121406,Proliferation,+
22,Stage I,C vs D,MYC_TARGETS_V1,1.579561442,0.000124535,Proliferation,+
23,Stage I,C vs D,APICAL_JUNCTION,-1.490031681,0.000158157,Cellular Component,
24,Stage I,C vs D,PANCREAS_BETA_CELLS,-1.734947483,0.000202961,Development,
25,Stage I,C vs D,COAGULATION,-1.440082585,0.001694649,Immnue,
26,Stage I,C vs D,ANGIOGENESIS,-1.589966294,0.002657995,Development,
27,Stage I,C vs D,BILE_ACID_METABOLISM,-1.443791509,0.003362966,Metabolic,
28,Stage I,C vs D,XENOBIOTIC_METABOLISM,-1.372831545,0.003362966,Metabolic,
29,Stage I,C vs D,APOPTOSIS,-1.347541471,0.015816055,Pathway,
30,Stage I,C vs D,PEROXISOME,-1.375413097,0.016578947,Cellular Component,
31,Stage I,C vs D,ESTROGEN_RESPONSE_EARLY,-1.272828975,0.01965292,Signaling,
32,Stage II,A vs B,ALLOGRAFT_REJECTION,-1.888412989,7.11E-10,Immnue,
33,Stage II,A vs B,EPITHELIAL_MESENCHYMAL_TRANSITION,-1.766286772,7.11E-10,Development,
34,Stage II,A vs B,INFLAMMATORY_RESPONSE,-1.648694693,7.11E-10,Immnue,
35,Stage II,A vs B,KRAS_SIGNALING_UP,-1.65856196,7.11E-10,Signaling,
36,Stage II,A vs B,INTERFERON_GAMMA_RESPONSE,-1.603059651,3.79E-09,Immnue,
37,Stage II,A vs B,MYOGENESIS,-1.598868019,1.14E-08,Development,
38,Stage II,A vs B,COMPLEMENT,-1.558084339,7.93E-08,Immnue,
39,Stage II,A vs B,COAGULATION,-1.60666942,5.94E-07,Immnue,
40,Stage II,A vs B,APICAL_JUNCTION,-1.514857925,1.78E-06,Cellular Component,
